                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59277,                0.58392,                0.94798,                      1,                0.98035,                0.98506,                0.85747,                0.54126,                0.60488,                0.88602,             0.00051177,             0.00051177,             0.00051177
                     37,                0.60179,                0.61929,                0.93941,                0.99836,                0.98006,                0.98506,                0.85879,                0.53237,                0.58964,                0.88596,             0.00047876,             0.00047876,             0.00047876
                     38,                0.57074,                0.56166,                0.93785,                 0.9952,                  0.988,                0.98506,                0.86878,                0.50126,                0.57342,                0.87424,             0.00044576,             0.00044576,             0.00044576
                     39,                0.58597,                0.57109,                0.95637,                      1,                0.98349,                0.98506,                0.87097,                0.49839,                0.57282,                0.87127,             0.00041275,             0.00041275,             0.00041275
                     40,                0.55119,                0.56254,                0.94665,                0.99775,                0.98387,                0.98506,                0.87295,                0.48863,                0.56971,                0.86434,             0.00037974,             0.00037974,             0.00037974
                     41,                0.51572,                0.80333,                0.90284,                0.99827,                0.98409,                0.98506,                0.87518,                0.47806,                0.57094,                0.85932,             0.00034674,             0.00034674,             0.00034674
                     42,                0.50474,                0.73112,                0.90662,                0.99523,                0.98775,                0.98506,                 0.8483,                0.54077,                0.59426,                0.87213,             0.00031373,             0.00031373,             0.00031373
                     43,                0.54311,                0.73255,                0.91122,                0.99619,                0.98113,                0.98506,                 0.8574,                0.53881,                0.60487,                0.87047,             0.00028072,             0.00028072,             0.00028072
                     44,                0.50495,                0.68574,                0.90051,                0.99764,                0.98206,                0.98506,                0.87154,                0.50045,                0.60049,                 0.8593,             0.00024772,             0.00024772,             0.00024772
                     45,                0.51373,                0.71426,                0.90736,                0.99732,                0.98321,                0.98506,                0.88224,                0.46439,                 0.5894,                0.85015,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.5199,                0.67512,                0.90573,                 0.9992,                0.98288,                0.98506,                0.88537,                0.45866,                0.56538,                0.84777,              0.0001817,              0.0001817,              0.0001817
                     47,                0.49953,                0.63014,                0.89424,                0.99876,                0.98224,                0.98506,                0.88471,                0.45653,                0.55985,                0.84875,              0.0001487,              0.0001487,              0.0001487
                     48,                0.48771,                0.61157,                0.88217,                0.99893,                0.98041,                0.98506,                0.88924,                0.44898,                0.55114,                0.84776,             0.00011569,             0.00011569,             0.00011569
                     49,                0.47583,                0.61984,                0.88069,                 0.9996,                0.97888,                0.98506,                0.89228,                0.44067,                0.54449,                 0.8458,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.46232,                0.60662,                0.88876,                0.99047,                 0.9788,                0.98506,                0.89381,                0.43076,                0.53926,                0.84208,             4.9677e-05,             4.9677e-05,             4.9677e-05
